Number,Name,Designation,Category,Components,Absolute Magnitute,Quality Code for Best Images,NASA Link
476601,,2008 SE85,PHA,1.0,19.8,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=476601
476904,,2008 WK32,NEA,1.0,19.11,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=476904
477162,,2009 ES,PHA,1.0,20.71,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=477162
477762,,2010 XZ67,NEA,1.0,19.74,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=477762
480883,,2001 YE4,PHA,1.0,20.92,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=480883
480936,,2003 QH5,PHA,1.0,20.26,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=480936
481394,,2006 SF6,PHA,1.0,19.97,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=481394
481457,,2006 XD2,PHA,1.0,21.11,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=481457
481532,,2007 LE,PHA,2.0,19.62,4.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=481532
481817,,2008 UL90,PHA,1.0,18.61,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=481817
482650,,2013 BK18,PHA,1.0,19.68,3.0,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=482650
483422,,2000 CE59,PHA,1.0,20.53,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=483422
483656,,2005 ES70,NEA,1.0,23.76,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=483656
484402,,2007 XH16,PHA,1.0,19.68,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=484402
486739,,2014 EW24,NEA,1.0,19.57,,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=486739
